ID;RIJPTIJD;KIEMRUST;KOOKSCORE;KOOKTYPE;VLEESKLEUR NA KOKEN;VERKLEURING KOKEN;NABAKKEN;GRAUW NA VOORBAKKEN;Negatief
R28;74;0;38;BC ;60;60;75;76;37
R29;73;0;33;B  ;69;61;73;73;61
R3;48;0;44;BC ;66;63;61;73;84
R30;73;0;44;BC ;66;63;74;73;14
R31;40;0;33;B  ;68;62;69;76;20
R32;49;0;38;BC ;66;57;66;78;38
R33;68;0;36;BC ;61;60;76;71;66
R34;65;0;38;BC ;60;54;72;57;74
R35;78;0;26;B  ;64;65;74;72;98
R36;70;0;35;BC ;62;61;76;74;54
R37;69;0;24;AB;70;58;68;71;65
R38;55;0;41;BC ;60;54;72;69;84
R39;60;0;43;BC ;59;58;77;74;22
R4;59;0;33;B  ;60;59;64;69;45
R40;69;0;25;B  ;70;60;67;73;80
R41;51;0;40;BC ;68;63;65;71;92
R42;69;0;36;BC ;65;65;80;71;57
R43;78;0;29;B  ;52;61;72;68;60
R44;76;0;35;BC ;66;64;69;74;13
R45;65;0;36;BC ;57;58;75;72;44
R46;61;0;36;BC ;69;59;66;69;33
R47;64;0;35;BC ;67;62;70;74;16
R48;81;0;33;B  ;48;65;71;70;92
R49;68;0;33;B  ;69;64;74;74;86
R5;73;0;30;B  ;60;62;63;73;23
R50;71;0;39;BC ;52;61;71;73;23
R51;65;0;35;BC ;67;58;65;71;51
R52;66;0;38;BC ;67;64;76;75;57
R53;48;0;41;BC ;68;60;66;72;58
R54;70;0;33;B  ;64;61;65;65;29
R55;75;0;39;BC ;65;53;77;67;49
R56;51;0;41;BC ;65;59;65;69;17
R57;50;0;43;BC ;63;66;74;72;30
R58;65;0;29;B  ;66;68;45;63;79
R59;67;0;25;B  ;67;70;70;75;21
R6;78;0;33;B  ;48;58;76;71;36
R60;70;0;35;BC ;63;66;77;74;78
R61;75;0;21;AB;70;64;64;67;61
R62;46;0;45;C  ;66;61;70;69;26
R63;49;0;44;BC ;64;66;70;77;37
R64;48;0;35;BC ;68;64;62;70;89
R65;44;0;34;B  ;68;60;64;70;74
R66;63;0;39;BC ;62;67;62;71;43
R67;50;0;38;BC ;62;61;67;66;63
R68;66;0;36;BC ;68;59;74;71;68
R69;66;0;34;B  ;61;63;67;72;22
R7;75;0;33;B  ;50;59;75;71;55
R70;40;0;38;BC ;61;63;57;71;98
R71;66;0;38;BC ;65;68;66;73;54
R72;61;0;41;BC ;65;64;75;70;95
R73;61;0;31;B  ;50;56;73;70;45
R74;59;0;35;BC ;72;55;67;69;41
R75;61;0;31;B  ;65;62;74;78;19
R76;76;0;29;B  ;61;65;66;71;96
R77;66;0;38;BC ;67;62;71;73;15
R78;53;0;35;BC ;69;62;65;73;42
R79;46;0;31;B  ;71;57;67;65;34
R8;69;0;34;B  ;69;62;72;78;12
R80;73;0;35;BC ;61;62;77;74;17
R81;70;0;26;B  ;67;61;72;69;73
R82;55;0;43;BC ;68;70;74;72;55
